[2024-05-21 20:49:19] [ INFO ] [OdontologoDaoH2:41] odontologo guardado: Odontologo{id=2, nroMatricula=7654321, nombre='ARTURO', apellido='LOPEZ'}
[2024-05-21 20:49:19] [ INFO ] [OdontologoDaoH2:41] odontologo guardado: Odontologo{id=3, nroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-05-21 20:49:19] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=1, nroMatricula=987654, nombre='JAVIER', apellido='LOPEZ'}
[2024-05-21 20:49:19] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=2, nroMatricula=7654321, nombre='ARTURO', apellido='LOPEZ'}
[2024-05-21 20:49:19] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=3, nroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-05-21 20:50:25] [ INFO ] [OdontologoDaoH2:41] odontologo guardado: Odontologo{id=2, nroMatricula=7654321, nombre='ARTURO', apellido='LOPEZ'}
[2024-05-21 20:50:25] [ INFO ] [OdontologoDaoH2:41] odontologo guardado: Odontologo{id=3, nroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-05-21 20:50:25] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=1, nroMatricula=987654, nombre='JAVIER', apellido='LOPEZ'}
[2024-05-21 20:50:25] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=2, nroMatricula=7654321, nombre='ARTURO', apellido='LOPEZ'}
[2024-05-21 20:50:25] [ INFO ] [OdontologoDaoH2:84] odontologo listado: Odontologo{id=3, nroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-05-21 21:02:37] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=1, nroMatricula=45678, nombre='CAROLINA', apellido='ZAPATA'}
[2024-05-21 21:02:37] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=2, nroMatricula=777666, nombre='RAUL', apellido='SUAREZ'}
[2024-05-21 21:02:37] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=3, nroMatricula=777111, nombre='VALENTINA', apellido='LOPEZ'}
[2024-05-21 21:02:58] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=1, nroMatricula=45678, nombre='CAROLINA', apellido='ZAPATA'}
[2024-05-21 21:02:58] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=2, nroMatricula=777666, nombre='RAUL', apellido='SUAREZ'}
[2024-05-21 21:02:58] [ INFO ] [OdontologoDaoMemoria:20] odontologo guardado: Odontologo{id=3, nroMatricula=777111, nombre='VALENTINA', apellido='LOPEZ'}
